LC_Up_Regulated_Genes,,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3,DCT-average,ERST-average,LC-average
Setbp1,LC_DCT_LC_UP,1.1,1.04,0.85,0.79,0.94,5.41,4.69,5.27,0.996666667,0.865,5.123333333
H60c,LC_ERST_UP,1.09,0.91,1.41,9.17,6.92,0,0,0,1.136666667,8.045,0
Clip3,LC_DCT_LC_UP,1.09,0.98,1.06,1.76,1.79,12.81,12.2,12.9,1.043333333,1.775,12.63666667
Limk1,LC_ERST_UP,1.09,0.56,0.8,6.88,6.38,1.07,0.81,0.72,0.816666667,6.63,0.866666667
Glt8d2,LC_ERST_UP,1.09,0.97,0.38,20.82,20.92,4.64,3.77,4.16,0.813333333,20.87,4.19
Otoa,LC_DCT_LC_UP,1.08,0.81,1.58,0.1,0.08,8.7,11.31,6.71,1.156666667,0.09,8.906666667
Pitx2,LC_DCT_LC_UP,1.08,1.06,1.28,0.42,0.45,17.72,18.14,17.38,1.14,0.435,17.74666667
Otop3,LC_ERST_UP,1.08,0.98,1.15,6.7,5.69,0,0.07,0,1.07,6.195,0.023333333
Gucy2c,DCT_ERST_DCT_UP,1.07,1.48,1.06,0,0,0,0,0,1.203333333,0,0
Sox15,LC_ERST_UP,1.06,0.97,1.22,19.01,17.33,0,0,0,1.083333333,18.17,0
Aqp5,LC_DCT_LC_UP,1.05,0.42,0.19,0.77,0.67,7.17,6.04,5.14,0.553333333,0.72,6.116666667
Padi2,LC_DCT_LC_UP,1.04,1.01,1.61,0.83,0.58,6.04,5.85,5.65,1.22,0.705,5.846666667
Mogat1,LC_DCT_LC_UP,1.04,2.05,0.94,0.15,0.1,20.92,24.11,15.25,1.343333333,0.125,20.09333333
Gm43235,LC_ERST_UP,1.04,0.63,0,16.9,18.19,0,0,0,0.556666667,17.545,0
Plcb1,LC_DCT_LC_UP,1.03,1.16,2.66,1.37,2.13,9.84,11.47,9.13,1.616666667,1.75,10.14666667
Sh3gl2,LC_ERST_UP,1.03,1.07,1.27,8.66,8.83,0.19,0,0.22,1.123333333,8.745,0.136666667
Il1f6,LC_ERST_UP,1.03,0.7,0.82,16.99,18.5,0,0,0,0.85,17.745,0
Elf3,LC_DCT_LC_UP,1.03,0.63,0.54,0.28,0.19,4.02,6.73,5.05,0.733333333,0.235,5.266666667
Pdzrn4,LC_DCT_LC_UP,1.02,0.97,1.07,3.15,2.55,8.39,9.68,8.51,1.02,2.85,8.86
Dppa5a,LC_ERST_UP,1.02,0.84,0.85,6.59,7.92,0,0.37,0.44,0.903333333,7.255,0.27
Panx3,LC_ERST_UP,1.01,1.37,1.88,31.44,31.82,1.06,1.37,0.9,1.42,31.63,1.11
Nedd4l,LC_DCT_LC_UP,1.01,0.95,1.13,1.43,1.44,9.45,9.43,9.52,1.03,1.435,9.466666667
Mlxipl,LC_DCT_LC_UP,1.01,1.42,1.1,1.04,1.14,12.59,10.47,9.97,1.176666667,1.09,11.01
Larp6,LC_DCT_LC_UP,1.01,1.31,0.53,1.97,1.57,7.23,8,7.49,0.95,1.77,7.573333333
Dupd1,LC_DCT_LC_UP,1.01,0.81,0.43,0.61,0.2,6.21,8.43,4.32,0.75,0.405,6.32
Fam188b,LC_DCT_LC_UP,1,1.39,1.22,2.64,2.71,9.38,16.46,11.83,1.203333333,2.675,12.55666667
Mesp2,LC_ERST_UP,1,0.93,1.2,10.86,10.27,0.09,0,0,1.043333333,10.565,0.03
Slc5a1,LC_ERST_UP,1,0.84,1.01,8.47,8.52,0.04,0,0,0.95,8.495,0.013333333
Vit,LC_DCT_LC_UP,1,0.52,1,2.21,2.05,14.46,16.6,14.23,0.84,2.13,15.09666667
Cd247,LC_ERST_UP,1,0.57,0.9,6.99,7.99,1.3,1.36,1.42,0.823333333,7.49,1.36
Clcn1,LC_DCT_LC_UP,1,0.62,0.75,0.51,0.46,5.09,5.75,5,0.79,0.485,5.28
Amot,LC_DCT_LC_UP,1,0.79,0.52,0.43,0.34,6.45,6.2,6.88,0.77,0.385,6.51
Ldlrad4,LC_DCT_LC_UP,0.99,1.35,1.24,2.05,2.25,10.36,12.41,10.05,1.193333333,2.15,10.94
Asb10,LC_DCT_LC_UP,0.99,0.87,1.11,0.5,0.47,6.91,7.76,7.46,0.99,0.485,7.376666667
Prdm5,LC_DCT_LC_UP,0.99,1.4,0.89,2.54,3.08,9.56,9.75,11.09,1.093333333,2.81,10.13333333
Lect1,LC_DCT_LC_UP,0.99,0.42,0,0.9,1.13,233.73,257.66,224.6,0.47,1.015,238.6633333
C4a,LC_DCT_LC_UP,0.99,0.53,0,1.49,1.11,6.29,6.45,7.42,0.506666667,1.3,6.72
Mpped2,LC_DCT_LC_UP,0.98,0.89,1.63,1.01,1.15,11.11,10.68,9.16,1.166666667,1.08,10.31666667
Col8a2,LC_DCT_LC_UP,0.98,0.91,1.24,2.87,2.35,81,81.52,77.59,1.043333333,2.61,80.03666667
Rasl12,LC_DCT_LC_UP,0.98,0.81,0.85,3.48,2.23,15.06,15.88,14.25,0.88,2.855,15.06333333
Ppm1j,LC_DCT_LC_UP,0.98,1.64,0.47,1.02,0.84,5.71,10.02,6.71,1.03,0.93,7.48
Capn9,LC_ERST_UP,0.97,1.93,1.29,6.91,8.58,0.08,0,0,1.396666667,7.745,0.026666667
Avpr1a,LC_DCT_LC_UP,0.97,0.69,1.17,5.65,6.3,16.21,16.76,15.01,0.943333333,5.975,15.99333333
Gm12349,LC_DCT_LC_UP,0.97,1.55,0.13,0.68,0.78,7.57,6.35,6.11,0.883333333,0.73,6.676666667
Rilp,LC_DCT_LC_UP,0.96,1.27,0.65,2.8,3.22,19.33,20.23,18.84,0.96,3.01,19.46666667
Hspa1l,LC_DCT_LC_UP,0.96,0.67,0.55,0.51,0.19,3.98,4.42,4.61,0.726666667,0.35,4.336666667
Mcoln2,LC_DCT_LC_UP,0.96,0.28,0.29,1.76,1.34,10.07,10.62,9.37,0.51,1.55,10.02
Il1f8,LC_ERST_UP,0.95,1.11,1.82,29.03,32,0,0,0,1.293333333,30.515,0
Itga1,LC_DCT_LC_UP,0.95,1.01,0.98,1.15,0.99,5.45,5.03,4.78,0.98,1.07,5.086666667
Usp11,LC_DCT_LC_UP,0.95,1.08,0.83,1.05,0.91,7.58,7.43,6.82,0.953333333,0.98,7.276666667
Arhgap15,LC_ERST_UP,0.95,0.68,0.7,5.51,4.68,0.35,0.17,0.3,0.776666667,5.095,0.273333333
P4htm,LC_DCT_LC_UP,0.95,0.45,0.52,2.89,2.17,14.88,18.85,14.2,0.64,2.53,15.97666667
Gm11517,LC_DCT_LC_UP,0.95,0,0.28,1.13,0.3,4.53,3.49,6.66,0.41,0.715,4.893333333
Il17d,LC_DCT_LC_UP,0.94,0.87,0.94,2.06,2.19,10.32,10.22,9.51,0.916666667,2.125,10.01666667
Six1,LC_DCT_LC_UP,0.94,1.22,0.76,0.48,0.5,6.51,8.2,6.4,0.973333333,0.49,7.036666667
Col27a1,LC_DCT_LC_UP,0.94,0.79,0.45,4.33,3.71,224.85,224.72,223.36,0.726666667,4.02,224.31
Sema6c,LC_DCT_LC_UP,0.93,1.33,1.25,2.71,1.93,9.66,12.74,9.16,1.17,2.32,10.52
Fam149a,LC_DCT_LC_UP,0.93,0.63,0.78,2.94,2.8,11.59,12.47,12.55,0.78,2.87,12.20333333
Kirrel,LC_DCT_LC_UP,0.93,0.83,0.5,0.67,0.41,4.31,6.19,4.85,0.753333333,0.54,5.116666667
3425401B19Rik,LC_DCT_LC_UP,0.93,0.6,0.44,0.29,0.25,7.35,5.96,7.54,0.656666667,0.27,6.95
5330406M23Rik,LC_DCT_LC_UP,0.92,0.47,0.9,2.35,2.08,11.92,11.24,11.8,0.763333333,2.215,11.65333333
Myo1g,LC_ERST_UP,0.92,0.78,0.79,6,4.58,0.56,1.14,0.96,0.83,5.29,0.886666667
Matn4,LC_DCT_LC_UP,0.91,1.29,1.37,6.53,4.41,14.13,17.79,14.39,1.19,5.47,15.43666667
Zfp783,LC_DCT_LC_UP,0.91,1.52,0.87,2.18,1.88,8.35,8.31,9.62,1.1,2.03,8.76
Gm12216,LC_DCT_LC_UP,0.91,1.5,0.73,5.01,3.89,10.68,12.78,14.21,1.046666667,4.45,12.55666667
Gm5547,LC_ERST_UP,0.91,1.15,0.58,6.83,6.24,0.6,0,0.32,0.88,6.535,0.306666667
Tspan2,LC_DCT_LC_UP,0.9,1.13,1.4,1.43,1.48,4.73,6.76,6.43,1.143333333,1.455,5.973333333
Scgb2b27,LC_ERST_UP,0.9,2.22,0.55,8.38,7.07,0,0,0,1.223333333,7.725,0
Serpina3i,LC_ERST_UP,0.89,1.47,1.29,6.18,7.91,0,0,0,1.216666667,7.045,0
Bex2,LC_DCT_LC_UP,0.89,0.47,1.16,1.36,0.97,5.14,6.6,4.83,0.84,1.165,5.523333333
Ptpro,LC_ERST_UP,0.89,0.63,0.45,4.94,5.92,0.76,1.05,0.85,0.656666667,5.43,0.886666667
Fgf18,LC_DCT_LC_UP,0.88,0.61,1.35,2.94,3.67,15.09,13,14.44,0.946666667,3.305,14.17666667
9330162012Rik,LC_ERST_UP,0.88,0.55,1.02,5.24,5.68,0.57,0.71,0.44,0.816666667,5.46,0.573333333
Apol9a,LC_ERST_UP,0.88,0.73,0.3,6.82,7.4,1.62,2.04,1.01,0.636666667,7.11,1.556666667
Gm17455,LC_DCT_LC_UP,0.88,1.58,0.09,1.82,1.37,12.51,17.8,11.44,0.85,1.595,13.91666667
Fabp6,LC_ERST_UP,0.88,0.55,0,7.78,8.13,0,0,0,0.476666667,7.955,0
Lrrc39,LC_DCT_LC_UP,0.87,1.28,0.94,0.49,0.61,5.87,5.21,6.32,1.03,0.55,5.8
Slitrk6,LC_ERST_UP,0.87,0.91,0.86,8.14,7.55,0.29,0.14,0.16,0.88,7.845,0.196666667
Gprasp2,LC_DCT_LC_UP,0.87,0.41,0.21,0.93,0.27,4.4,6.28,5.28,0.496666667,0.6,5.32
Cxcl9,LC_DCT_LC_UP,0.87,1.45,0.15,0.56,0.72,14.62,11.44,15.02,0.823333333,0.64,13.69333333
9030619P08Rik,LC_ERST_UP,0.87,1.19,0.09,9.8,8.21,1.7,1.59,1.57,0.716666667,9.005,1.62
Adgrg2,LC_DCT_LC_UP,0.86,0.86,1.09,0.9,0.89,4.91,5.02,5.61,0.936666667,0.895,5.18
Itpr1,LC_DCT_LC_UP,0.86,0.64,0.51,1.07,0.83,9,11.08,11.11,0.67,0.95,10.39666667
C030013C21Rik,LC_DCT_LC_UP,0.86,0.8,0.31,0.29,0.7,5.04,5.3,6.6,0.656666667,0.495,5.646666667
2310008N11Rik,LC_DCT_LC_UP,0.85,1.06,1.27,0.28,0.48,4.56,4.22,7.29,1.06,0.38,5.356666667
Frmd8os,LC_DCT_LC_UP,0.85,0,1.23,1.83,1.64,6.05,8.11,6.01,0.693333333,1.735,6.723333333
Skint8,LC_ERST_UP,0.85,0.6,1.16,4.61,6.19,0.67,0.43,0.59,0.87,5.4,0.563333333
Mir143hg,LC_DCT_LC_UP,0.85,0.55,1,2.65,3.08,19.14,15.3,16.33,0.8,2.865,16.92333333
Pde4a,LC_DCT_LC_UP,0.85,0.77,0.8,2.76,2.92,15.95,20.45,16.3,0.806666667,2.84,17.56666667
Slc6a4,LC_ERST_UP,0.85,0.63,0.43,12.05,12.45,0.95,0.91,0.86,0.636666667,12.25,0.906666667
Cysltr1,LC_ERST_UP,0.84,0.6,1.11,8.41,8.07,0.48,0.06,0.33,0.85,8.24,0.29
Bcl2l15,LC_ERST_UP,0.84,0.67,0.26,6.36,5.91,0.51,0.71,0,0.59,6.135,0.406666667
Nrxn2,LC_DCT_LC_UP,0.83,1.05,0.96,1.8,2.28,9.72,11.34,9.79,0.946666667,2.04,10.28333333
Slc4a3,LC_DCT_LC_UP,0.83,0.99,0.71,1.59,1.02,16.17,19.83,16.14,0.843333333,1.305,17.38
Hdc,LC_ERST_UP,0.83,0.26,0.63,4.6,4.22,0.54,0.66,0.45,0.573333333,4.41,0.55
Rgs16,LC_DCT_LC_UP,0.82,0.92,1.52,1.67,1.45,6.65,7.37,6.68,1.086666667,1.56,6.9
Uty,LC_ERST_UP,0.82,0.92,1.48,13.09,14.74,2.19,1.02,1.85,1.073333333,13.915,1.686666667
Sox6os,LC_DCT_LC_UP,0.82,1.35,0.24,0.64,1.81,5.28,5.14,5.72,0.803333333,1.225,5.38
Slc28a3,LC_ERST_UP,0.81,0.59,0.85,5.05,5.21,0.19,0.12,0.06,0.75,5.13,0.123333333
Adam8,LC_ERST_UP,0.81,0.9,0.59,6.95,6.56,0.48,0.5,0.77,0.766666667,6.755,0.583333333
Cpt1c,LC_DCT_LC_UP,0.8,1.13,1.1,2.16,2.35,9.58,10.62,7.79,1.01,2.255,9.33
Emx2,LC_DCT_LC_UP,0.8,0.29,0.7,2.18,3.52,18.65,18.15,20.54,0.596666667,2.85,19.11333333
Exoc3l4,LC_DCT_LC_UP,0.8,0.77,0.59,0.75,0.63,3.86,5,4.61,0.72,0.69,4.49
Gm26740,LC_DCT_LC_UP,0.8,1.5,0.44,1.04,1.18,5.61,4.83,4.9,0.913333333,1.11,5.113333333
2010016I18Rik,LC_ERST_UP,0.79,0.86,1.61,12.75,12.38,1.34,0.72,0.62,1.086666667,12.565,0.893333333
Gm3448,LC_ERST_UP,0.79,0.54,1,13.62,11.83,4.02,3.03,4.39,0.776666667,12.725,3.813333333
Dixdc1,LC_DCT_LC_UP,0.79,0.97,0.99,2.33,2.71,36.51,30,31.07,0.916666667,2.52,32.52666667
Fibin,LC_DCT_LC_UP,0.78,1.03,1.27,2.28,3.12,51.27,52.49,50.01,1.026666667,2.7,51.25666667
Stc2,LC_DCT_LC_UP,0.78,0.68,0.69,2.61,2.7,24.04,26.72,24.25,0.716666667,2.655,25.00333333
Ces4a,LC_ERST_UP,0.78,0.99,0.59,88.33,82.08,0.04,0,0.04,0.786666667,85.205,0.026666667
Gm13375,LC_DCT_LC_UP,0.78,0.37,0.19,1.72,1.01,8.19,11.66,9.17,0.446666667,1.365,9.673333333
Cdon,LC_DCT_LC_UP,0.77,0.9,0.59,1.94,2.03,11.26,10.71,11.61,0.753333333,1.985,11.19333333
Pou6f1,LC_DCT_LC_UP,0.77,0.74,0.39,1.64,1.53,7.41,7.4,6.27,0.633333333,1.585,7.026666667
Kcne1l,LC_DCT_LC_UP,0.77,0.3,0.29,0.91,0.5,38.96,47.35,34.97,0.453333333,0.705,40.42666667
Atg16l2,LC_DCT_LC_UP,0.76,2.27,0.91,5.44,3.94,23.92,23.1,20.14,1.313333333,4.69,22.38666667
Fbxo40,LC_DCT_LC_UP,0.76,0.86,0.69,0.33,0.28,7.36,6.38,6.29,0.77,0.305,6.676666667
Tesk1,LC_DCT_LC_UP,0.75,0.9,0.32,1.05,1.18,5.48,7.77,7.21,0.656666667,1.115,6.82
Cyp11a1,LC_ERST_UP,0.74,1.05,0.92,10.5,11.4,0.16,0.23,0.2,0.903333333,10.95,0.196666667
Atp2a3,LC_DCT_LC_UP,0.74,0.62,0.51,2.6,2.26,7.95,9.41,7.7,0.623333333,2.43,8.353333333
Fzd8,LC_DCT_LC_UP,0.74,0.6,0.46,0.72,0.87,4.26,4.3,4.68,0.6,0.795,4.413333333
Cmklr1,LC_DCT_LC_UP,0.73,0.98,0.59,0.61,0.63,6.33,8.55,8.69,0.766666667,0.62,7.856666667
Gm37324,LC_DCT_LC_UP,0.72,0.82,2.31,3.53,2.93,10.67,13.31,11.38,1.283333333,3.23,11.78666667
Stxbp1,LC_DCT_LC_UP,0.72,1.15,0.82,4,3.26,15.91,17.97,16.1,0.896666667,3.63,16.66
Tmem8b,LC_DCT_LC_UP,0.72,0.9,0.66,1.52,1.76,6.48,5.7,6,0.76,1.64,6.06
Pkd1,LC_DCT_LC_UP,0.72,0.68,0.53,2.57,2.05,13.28,14.38,12.36,0.643333333,2.31,13.34
Mrgprb2,LC_ERST_UP,0.72,0.74,0.45,5.24,4.53,0,0,0,0.636666667,4.885,0
Lilr4b,LC_ERST_UP,0.72,0.43,0.33,11.31,11.38,3.69,2.35,3.23,0.493333333,11.345,3.09
Gm16016,LC_DCT_LC_UP,0.71,0,0.66,0.6,0.5,5.47,5.34,4.22,0.456666667,0.55,5.01
Myog,LC_DCT_LC_UP,0.7,0.63,0.85,0.34,0.37,6.32,5.86,5.54,0.726666667,0.355,5.906666667
Crispld1,LC_DCT_LC_UP,0.7,0.96,0.58,0.85,0.58,57.17,60.67,56.06,0.746666667,0.715,57.96666667
Gm15270,LC_DCT_LC_UP,0.7,0.68,0.29,1.11,0.78,21.43,20.87,21.29,0.556666667,0.945,21.19666667
Pappa2,LC_DCT_LC_UP,0.7,0.12,0.28,0.25,0.28,3.94,3.24,2.41,0.366666667,0.265,3.196666667
Lctl,LC_DCT_LC_UP,0.7,0.63,0.28,0.11,0.31,5.69,4.68,4.47,0.536666667,0.21,4.946666667
Loxl3,LC_DCT_LC_UP,0.7,1.03,0.28,1.75,1.61,40.14,46.29,37.7,0.67,1.68,41.37666667
Upp2,LC_DCT_LC_UP,0.69,2.12,1.33,1.69,0.97,8.33,6.82,6.82,1.38,1.33,7.323333333
Nog,LC_DCT_LC_UP,0.69,0.65,0.78,2.51,1.66,23.52,24.23,23.21,0.706666667,2.085,23.65333333
Dennd4b,LC_DCT_LC_UP,0.69,0.93,0.59,1.28,0.9,6.09,4.17,3.8,0.736666667,1.09,4.686666667
Gm9992,LC_ERST_UP,0.69,0.75,0.58,4.69,4.42,0.29,0,0.2,0.673333333,4.555,0.163333333
Carns1,LC_DCT_LC_UP,0.69,0.85,0.54,1.58,1.1,8.81,10.18,9.13,0.693333333,1.34,9.373333333
Xirp1,LC_DCT_LC_UP,0.69,0.71,0.51,0.21,0.25,6.55,7.7,6.36,0.636666667,0.23,6.87
Ntng2,LC_DCT_LC_UP,0.69,0.48,0.38,0.86,0.78,4.67,5.26,5.05,0.516666667,0.82,4.993333333
Prg4,LC_DCT_LC_UP,0.69,1.12,0.35,1.11,0.73,962.56,927.41,904.14,0.72,0.92,931.37
Fgf2,LC_DCT_LC_UP,0.68,0.89,0.44,1.04,0.91,13.65,15.41,14.09,0.67,0.975,14.38333333
Serpinb10,LC_ERST_UP,0.67,0,1.28,18.2,22.49,0,0,0,0.65,20.345,0
Rgs20,LC_ERST_UP,0.67,0.25,0.63,4.67,4.19,0.16,0.1,0.26,0.516666667,4.43,0.173333333
Tnnc1,LC_DCT_LC_UP,0.67,1.26,0.3,1.3,1.19,76.34,94.67,87.67,0.743333333,1.245,86.22666667
Crhr2,LC_DCT_LC_UP,0.67,0.79,0.21,0.74,0.49,9.72,10.27,10.36,0.556666667,0.615,10.11666667
Lrrc30,LC_DCT_LC_UP,0.66,0.42,1.29,0.26,0.27,11.73,12.68,10.74,0.79,0.265,11.71666667
Arc,LC_DCT_LC_UP,0.66,0.86,0.9,0.59,0.58,69.52,86.85,70.93,0.806666667,0.585,75.76666667
Mmrn1,LC_ERST_UP,0.66,0.63,0.82,8.83,9.69,1.82,1.76,2.12,0.703333333,9.26,1.9
9630013D21Rik,LC_DCT_LC_UP,0.66,0.17,0.56,0.9,2.21,9.55,6.99,8.79,0.463333333,1.555,8.443333333
3110079O15Rik,LC_DCT_LC_UP,0.66,0.82,0,2.52,1.67,1115.31,1264.14,1108.15,0.493333333,2.095,1162.533333
Gm10184,LC_ERST_UP,0.65,0,1.85,47.55,49.49,5.35,5.27,3.85,0.833333333,48.52,4.823333333
Trat1,LC_ERST_UP,0.65,1.3,1.12,7.25,7.63,0,1.26,0.19,1.023333333,7.44,0.483333333
Col8a1,LC_DCT_LC_UP,0.65,0.65,0.87,12.05,11.23,487.38,512.98,493.75,0.723333333,11.64,498.0366667
Cep85l,LC_DCT_LC_UP,0.65,1.02,0.61,1.35,1.64,8.45,9.44,8.07,0.76,1.495,8.653333333
Khdrbs3,LC_DCT_LC_UP,0.65,0.82,0.54,2.46,2.66,8.85,7.31,10.66,0.67,2.56,8.94
Fam124a,LC_DCT_LC_UP,0.65,0.72,0.32,2.24,2.06,11.44,12.96,14.47,0.563333333,2.15,12.95666667
Fbxo2,LC_DCT_LC_UP,0.65,0.74,0.29,4.57,4.89,82.17,89.9,78.71,0.56,4.73,83.59333333
1500015O10Rik,LC_DCT_LC_UP,0.64,1.25,0,14.48,13.09,915.99,1006.78,910.26,0.63,13.785,944.3433333
Mkx,LC_DCT_LC_UP,0.62,0.68,1.05,1.19,1.49,20.76,32.24,21.24,0.783333333,1.34,24.74666667
Frzb,LC_DCT_LC_UP,0.62,0.72,0.91,0.95,1.22,153.44,164.63,149,0.75,1.085,155.69
Proscos,LC_DCT_LC_UP,0.62,0.78,0.89,1.06,1.59,6.04,7.66,6.12,0.763333333,1.325,6.606666667
Nptxr,LC_DCT_LC_UP,0.62,0.64,0.66,0.89,0.64,5.4,5.2,4.39,0.64,0.765,4.996666667
Oas1c,LC_ERST_UP,0.62,0.74,0.62,9.01,9.04,1.3,1.11,1.09,0.66,9.025,1.166666667
Gm43076,LC_DCT_LC_UP,0.62,0.31,0.47,0.61,0.47,20.26,17.78,22.28,0.466666667,0.54,20.10666667
Dok3,LC_ERST_UP,0.62,1.39,0.43,9.96,7.56,1.16,1.3,1.12,0.813333333,8.76,1.193333333
Cxcl1,LC_DCT_LC_UP,0.62,0.88,0.42,1.44,1.12,246.87,226.36,262.36,0.64,1.28,245.1966667
Gm9800,LC_DCT_LC_UP,0.61,0.96,0.65,10.54,6.21,77.46,41.38,63.53,0.74,8.375,60.79
Gm43289,LC_DCT_LC_UP,0.61,0.19,0.3,0.4,0.52,5.46,5.96,5.6,0.366666667,0.46,5.673333333
AL589742.2,LC_ERST_UP,0.61,0,0.21,88.17,99.92,0,0,0,0.273333333,94.045,0
Fcmr,LC_ERST_UP,0.61,0,0,2.98,2.56,0,0,0,0.203333333,2.77,0
Fxyd7,LC_DCT_LC_UP,0.6,0.19,0.56,2.51,2.12,10.29,10.53,12.78,0.45,2.315,11.2
Faim2,LC_DCT_LC_UP,0.59,0.88,0.87,0.17,0.13,5.76,5.93,5.78,0.78,0.15,5.823333333
Ptx3,LC_DCT_LC_UP,0.59,0.67,0.48,1.68,1.92,34.63,41.95,33.16,0.58,1.8,36.58
2810032G03Rik,LC_DCT_LC_UP,0.59,0.26,0.41,0.41,0.26,2.85,3.15,3.34,0.42,0.335,3.113333333
Wscd2,LC_DCT_LC_UP,0.59,0.36,0.33,0.84,0.99,5.9,7.62,5.98,0.426666667,0.915,6.5
Gadl1,LC_ERST_UP,0.58,0.36,0.87,19.6,20.85,2.51,3.91,3.6,0.603333333,20.225,3.34
Kcna6,LC_DCT_LC_UP,0.58,0.48,0.61,1,1.09,5.04,6.02,5.36,0.556666667,1.045,5.473333333
Tbc1d10c,LC_ERST_UP,0.58,0.37,0.5,5.63,3.81,0.63,1.4,0.67,0.483333333,4.72,0.9
Tnfrsf26,LC_ERST_UP,0.58,0.62,0.29,9.96,11.02,1.27,1.14,1.33,0.496666667,10.49,1.246666667
Palm3,LC_ERST_UP,0.58,0.44,0.15,3.94,4.26,0.44,0.77,0.59,0.39,4.1,0.6
Layn,LC_DCT_LC_UP,0.57,0.82,0.45,2.96,2.22,9.26,9.8,9.48,0.613333333,2.59,9.513333333
Eno2,LC_DCT_LC_UP,0.57,0.8,0.24,1.97,1.27,9.34,8.77,8.5,0.536666667,1.62,8.87
Aadacl2,LC_ERST_UP,0.56,0.29,1.12,15.06,13.12,0,0,0,0.656666667,14.09,0
Rrad,LC_DCT_LC_UP,0.56,1.36,0.66,2.53,2.03,43.55,46.64,42.27,0.86,2.28,44.15333333
Zfp385b,LC_DCT_LC_UP,0.56,1.22,0.65,6.47,6.23,25.17,23.19,26.64,0.81,6.35,25
Gm42711,LC_ERST_UP,0.56,0.39,0.56,5.62,4.65,0,0,0,0.503333333,5.135,0
Aldh1l2,LC_ERST_UP,0.56,0.43,0.42,3.98,3.88,0.76,0.65,0.65,0.47,3.93,0.686666667
Gm13536,LC_ERST_UP,0.56,0.42,0.11,4.6,4.12,0,0,0,0.363333333,4.36,0
Pdgfc,LC_DCT_LC_UP,0.55,0.56,0.64,2.77,2.61,13.15,12.7,14.98,0.583333333,2.69,13.61
Myl3,LC_DCT_LC_UP,0.55,0.66,0.27,1.49,0.79,69.69,87.36,80.96,0.493333333,1.14,79.33666667
Serpinb12,LC_ERST_UP,0.54,0.57,1.6,95.66,101.33,0.06,0.31,0,0.903333333,98.495,0.123333333
Cers1,LC_DCT_LC_UP,0.54,0.29,0.16,1.39,0.72,4.26,6.06,3.72,0.33,1.055,4.68
Lsamp,LC_DCT_LC_UP,0.53,2.1,1.01,6.91,4.99,23.62,20.97,22.1,1.213333333,5.95,22.23
Cyp2j12,LC_ERST_UP,0.53,0.36,0.88,14.51,16.47,0,0,0,0.59,15.49,0
Nr4a2,LC_DCT_LC_UP,0.53,0.6,0.68,1.9,2.11,18.43,16.87,20.09,0.603333333,2.005,18.46333333
Rab17,LC_DCT_LC_UP,0.53,1.03,0.36,0.33,0.5,10.36,14.51,11.13,0.64,0.415,12
F630028O10Rik,LC_ERST_UP,0.53,0.29,0.21,3.66,3.36,0.1,0.11,0,0.343333333,3.51,0.07
Mst1,LC_ERST_UP,0.52,0.56,1.35,13.45,10.84,0.29,0.07,0.16,0.81,12.145,0.173333333
Gng8,LC_DCT_LC_UP,0.52,0.75,1.01,3.9,3.99,9.15,15.75,10.79,0.76,3.945,11.89666667
Gm37352,LC_DCT_LC_UP,0.52,0.37,0.3,1.6,0.77,10.32,12.49,10.33,0.396666667,1.185,11.04666667
Gm43263,LC_DCT_LC_UP,0.52,0.22,0,0.19,0,3.99,4.75,3.08,0.246666667,0.095,3.94
Mroh6,LC_ERST_UP,0.51,0.77,1.14,5.89,4.37,0.08,0.14,0.05,0.806666667,5.13,0.09
Il20ra,LC_ERST_UP,0.51,0.3,0.62,6.39,6.11,0,0,0,0.476666667,6.25,0
Chst11,LC_DCT_LC_UP,0.51,0.46,0.61,0.57,0.62,6.02,6.51,5.71,0.526666667,0.595,6.08
Rcan2,LC_DCT_LC_UP,0.51,0.62,0.5,1.28,1.29,15.82,15.66,12.27,0.543333333,1.285,14.58333333
Itga9,LC_DCT_LC_UP,0.51,0.51,0.49,1.21,0.95,5.36,5.69,4.05,0.503333333,1.08,5.033333333
Cd244,LC_ERST_UP,0.51,0.33,0.44,3.92,4.27,0.03,0.17,0.11,0.426666667,4.095,0.103333333
Zfhx4,LC_DCT_LC_UP,0.51,0.57,0.22,0.91,0.85,15.39,16.42,19.3,0.433333333,0.88,17.03666667
Hist1h2bl,LC_DCT_LC_UP,0.51,1.64,0,0.66,0,12.31,8.49,15.66,0.716666667,0.33,12.15333333
RP24-464A7.1,LC_DCT_LC_UP,0.5,0.49,1.42,0.61,0.52,4.63,3.88,5.24,0.803333333,0.565,4.583333333
Mecom,LC_DCT_LC_UP,0.5,0.41,0.64,1.11,0.62,14.04,12,11.66,0.516666667,0.865,12.56666667
Stard13,LC_DCT_LC_UP,0.5,0.61,0.59,2.84,2.06,17.02,17.9,14.65,0.566666667,2.45,16.52333333
Rgs11,LC_DCT_LC_UP,0.49,0.36,0.92,4.17,3.46,16.62,20.83,23,0.59,3.815,20.15
Chst2,LC_DCT_LC_UP,0.49,0.45,0.47,0.91,1.01,5.98,7.55,6.2,0.47,0.96,6.576666667
Piezo2,LC_DCT_LC_UP,0.49,0.43,0.38,0.72,0.57,5.67,6.05,6.05,0.433333333,0.645,5.923333333
Tmem202,LC_DCT_LC_UP,0.49,0.38,0.36,0.93,0.8,6.04,5.98,7.69,0.41,0.865,6.57
