Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
Lilra6,2.06,0,0.81,38.46,17.59,22.27,72.76,293.28,261.42
Rgl3,2,0,1,59,52,68,293,164,171
Gm37614,0,0,0,3.23,1.68,0,350.82,204.22,70.4
Ctla2b,1,1.05,2,32.75,20.6,31.47,40.95,382.67,206.65
Abca8b,1,1,3,30.1,9.05,10.07,203,258.48,174.27
Gm8822,0,0,0,0,0,1.52,304.7,315.78,10.89
Tfec,0,0,0,6,2,3,59,254,320
Il21r,0,1.06,0,13,8,11,98,403,140
Ebi3,1,0,0,12,12.72,11.87,94.73,328.31,219.82
Arap2,13,26,10,178.11,130,180.01,402,152,140
Foxa2,10,14,7,1,0,0,228,322,126
A530064D06Rik,2,0,0,10.13,5.94,2,94.25,362.04,197.2
Neurl1a,11,21,25,4,5,4,292,281,137
Mcoln3,0,1,1,0,0,0,43,224,388
Cacng7,2,1,2,0,0,0,335,87,236
Cd4,1,1.85,0,13,6,11,71,292,296
Phf11b,0,1,0,17.79,16.81,22.37,155.63,414.63,98.68
Tlr8,1,0,0,24,6,20,69,344,266
Sema4g,8,11,15,1,2,1,389,142,182
Col24a1,2,2,3,0,0,0,328,178,181
Gm1840,11.57,19.41,5.92,0,0,0,272.23,192.89,254.73
Alpk1,6.17,15.1,15,4,3,2,260,241,219
Fpr1,0,0,0,2,0,2,161,282,243
Dlg3,15,19,15,2,1,0,384,160,193
Hoxa7,2,2,0,151,127,144,240.14,231.46,221.97
H2-DMa,16,18,18,165,131,179,260,315,168
Nrcam,15.36,23.54,12.43,0,1,5.05,51.01,354.75,337
Rgs16,1,0,2,193,129,168,236,81.83,379
AI662270,2,1,2,35,22,19,102,330,272
Igf2bp1,0.76,0,0,0,0,0,249,340.67,114
Clec2d,0,3,0,23,10,17.67,114,336,258
Aoah,0,1.01,1,7,6,12,117,373,218
Cyp1b1,0,0,2,50,36,39,189,88,436
Sema6b,2,2,5,113,91,133,271,213,238
Bid,8,10,5.13,63.98,47,71.26,102,396.37,238.34
