"","DCT1","DCT2","DCT3","ERST2","ERST3","LC1","LC2","LC3"
"Gm13541",0.00212916741234755,0.00264866238374226,0.00160465308814653,0,0,0.646359922879241,0.443043425318033,0.628152744233244
"Gm13375",0.216960306693251,0.107477128159163,0.0560925075810263,0.344294297318437,0.197653167006335,0.91600433878019,1.03636309253962,0.961730621063784
"Gm13111",0.00212916741234755,0.00264866238374226,0.0114052437398811,0.0129177707661519,0.00732697462632022,0.753905532791897,0.791298700732763,0.744156559121343
"Gm12896",0.399534612974555,0.162339504306518,0.0984593490273276,0.102560122210644,0.170449436698597,0.793708225231408,0.803588920076025,0.882840897023091
"Gm12895",0.399534612974555,0.162339504306518,0.0984593490273276,0.102560122210644,0.170449436698597,0.793708225231408,0.803588920076025,0.882840897023091
"Gm12892",0.00212916741234755,0.00264866238374226,0.00160465308814653,0,0,0.82673080461362,0.993201513542896,0.866650053831257
"Gm12866",0.0854712537813375,0.0421791541815112,0.0144163594741848,0.0341608219771759,0.0453550774980177,0.539578841150556,0.642438372504364,0.557491517214433
"Gm12473",0.00212916741234755,0.00264866238374226,0.00160465308814653,0.00732697462632022,0,0.502867496435467,0.459992496769565,0.502204371309258
"Gm12349",0.280121456226678,0.435872772788802,0.0417500072017119,0.111821337499539,0.149646198993013,0.885596444479603,0.821368340450719,0.817880721284892
"Gm12295",0.00212916741234755,0.00264866238374226,0.0114052437398811,0.00160465308814653,0.00423825462833598,0.432071493254747,0.491691421651703,0.407272293083634
"Gm12216",0.258094351587362,0.418823664372713,0.236037229765042,0.736751758088966,0.645061101988591,1.02010605001864,1.07433486118781,1.14403682097303
"Gm12092",0.056292828823227,0.00264866238374226,0.0476460780931063,0.00732697462632022,0.0252191450629083,0.510804749749902,0.585640843105519,0.546371159956791
"Gm12052",0.0369835769423422,0.00264866238374226,0.0305616045339861,0.0897063493213758,0.142284552468104,0.806172079080477,0.743913568021367,0.80956701559499
"Gm11611",0.0295983722204369,0.0897063493213758,0.0215254601943812,0.182139937056368,0.121247051195985,0.654982146699376,0.763291819914034,0.621299893850843
"Gm11575",0.00212916741234755,0.418823664372713,0.346054670428386,0.138593027240718,0.241842339099058,0.837160024264687,1.02010605001864,1.02927490228336
"Gm11517",0.27205448374194,0.00264866238374226,0.0795684888877611,0.22333383559207,0.0564931500654277,0.717139505116288,0.629384381806968,0.848171848098042
"Gm11510",0.104359970607263,0.138593027240718,0.00160465308814653,0,0,0.542667243275005,0.497213611869543,0.632768735983722
"Gm10382",0.0453550774980177,0.0564931500654277,0.0215254601943812,0.0403242736990226,0.0659737905373456,0.769416108631137,0.769224884401624,0.810636330453722
"Glis3",0.0430445069833548,0.0476460780931063,0.0689325001587366,0.0403242736990226,0.0303382007615925,0.727363642502824,0.758957459152738,0.66173641689297
"Glis2",0.457016081283388,0.50597977157219,0.35338625775038,0.823548840299229,0.780552415672061,1.27343304345302,1.29780865856439,1.2553056925141
"Gdf6",0.0403242736990226,0.0693134617939873,0.0381870834913361,0,0.00423825462833598,0.539578841150556,0.446439971888941,0.491411210487506
"Gdf15",0.0691229809763619,0.0503306680077088,0.00160465308814653,0.173333342103014,0.128704713905437,0.915118854835994,0.928241776000131,0.884230588731451
"Fzd8",0.208200836133556,0.173333342103014,0.134036997476248,0.120350172621026,0.167740369285593,0.698751424577287,0.694728806522561,0.732192627128425
"Fxyd7",0.167740369285593,0.0659737905373456,0.169819549065765,0.457764629269462,0.41738787231945,1.00404635485862,0.995258444585705,1.1011628381382
"Frmd8os",0.236851384742464,0.00264866238374226,0.40259102090478,0.367658752463321,0.334003997292873,0.820848075778735,0.895785724599949,0.808271815896138
"Foxc2",0.395626541744786,0.435872772788802,0.308793484248074,0.138593027240718,0.123533884454679,0.911685785572175,0.974708300146497,0.939133330639
"Foxa3",0.00212916741234755,0.00264866238374226,0.00160465308814653,0,0.00527762529879774,0.621299893850843,0.632968364602009,0.621299893850843
"Foxa2",0.0179759364735858,0.00264866238374226,0.00160465308814653,0,0,0.382379615482694,0.450771847812782,0.328563380885208
"Fndc5",0.36869188606204,0.374078910328101,0.35338625775038,0.138593027240718,0.109459281669886,0.931351192963806,0.934588578475484,0.894439789350146
"Flnc",0.434456754951242,0.435872772788802,0.276900933218344,0.109459281669886,0.0972998802997504,1.02293135096571,1.0610711556758,1.02157531291828
"Fjx1",0.409288182091344,0.429540638953037,0.540804777783567,0.453080104874839,0.476027162498179,0.938087521844473,1.02434036191073,0.987073108461428
"Filip1",0.131229561318486,0.22333383559207,0.226299383217438,0.349736886536785,0.206614293352398,0.966586624224657,0.916227833792314,1.02157531291828
"Fgf9",0.0215254601943812,0.0421791541815112,0.0560925075810263,0.0878042803011615,0.111432183071521,0.664807215464771,0.602552774500793,0.686902207657589
"Fgf2os",0.0403242736990226,0.0341608219771759,0.00160465308814653,0.00160465308814653,0.00732697462632022,0.584661430509219,0.631889318022827,0.621299893850843
"Fgf2",0.189388793891721,0.263686645527842,0.125451430687051,0.195198730944043,0.178365809128919,1.12349007672711,1.14713419699026,1.13891461310642
"Fgf18",0.248691897570218,0.174811885519572,0.435082017581273,0.525345486768621,0.624182519596021,1.16209269698144,1.08858635617033,1.15146790538918
"Fbxo44",0.434456754951242,0.357288303570796,0.573838449111687,0.450771847812782,0.433343170617994,1.01386814685118,1.0761124546939,1.00866109975106
"Fbxo40",0.211483129804598,0.253658342625719,0.222310481746667,0.0529907562828181,0.0516643518327516,0.881078422063677,0.82286678212953,0.828154070481711
"Fbxl2",0.123533884454679,0.18329258066629,0.116108720011038,0.378003457723842,0.385252510521527,1.1500208227709,1.15261756620011,1.16526745088397
"Fam71a",0.00212916741234755,0.00264866238374226,0.00160465308814653,0,0,0.420048436499849,0.483137433028882,0.402902674155352
"Fam221b",0.0252191450629083,0.0403242736990226,0.0417500072017119,0.00833731880287442,0.0303382007615925,0.469969814937879,0.53455448786286,0.457764629269462
