"","DCT1","DCT2","DCT3","ERST2","ERST3","LC1","LC2","LC3"
"Ppfia4",0.395626541744786,0.323138879716328,0.389458287193906,1.15763549960032,1.04228851633236,0.439056211518594,0.359688326533436,0.448389444710972
"Pou2f3",0.866650053831257,0.94005892145121,1.05057573196515,1.46006690423136,1.47962169996851,0.284555291660351,0.235336138115243,0.220242394183685
"Pnpla5",0.479889473193215,0.303825837631942,0.370766254217751,1.69445976037738,1.6889991574474,0.0317528666197353,0.0369835769423422,0.031523806989335
"Plxdc1",0.479889473193215,0.429540638953037,0.532510079063355,0.994784728759398,0.94005892145121,0.343791072569747,0.339744246743313,0.344797522067126
"Plcxd1",0.67394960710261,0.466605980045476,0.488872384499301,1.38306913056964,1.28158024999813,0.387078077809068,0.458060439872897,0.427867249769966
"Pirb",0.518528592061508,0.483137433028882,0.316959340465266,1.08574049050443,1.12932001853838,0.466605980045476,0.426656795422421,0.491411210487506
"Pdss1",0.602214272937474,0.640466623613411,0.651940218432731,1.55419664747859,1.599244555637,0.756390687517242,0.670272129420701,0.649669917228509
"Pctp",0.326857604918674,0.392909833575919,0.349736886536785,1.2105062836273,1.23563899310217,0.541865941007613,0.543575465603964,0.457764629269462
"Panx3",0.300003113858549,0.388392463355536,0.529935137836593,1.53515904884774,1.55592232279253,0.349253947414338,0.402902674155352,0.334003997292873
"Olfml3",0.775363670804479,0.786571119932137,0.715100932574651,1.55325499259298,1.51449178980939,0.772627226651055,0.855780951035961,0.81689802579028
"Nrm",0.976916831168923,0.991966141380256,1.02927490228336,1.53399523053412,1.49581003599038,0.687881074412067,0.625885329592192,0.648037025960203
"Nkg7",1.07537154242445,0.930548658543237,0.873762711119996,1.47708146834441,1.55325499259298,0.370049979571354,0.334003997292873,0.367658752463321
"Ngfr",0.50404845321875,0.537238496989351,0.504311207446375,1.1856192836026,1.07106561537425,0.295349293443275,0.350100392634345,0.36020296666578
"Ndrg4",0.567322113986512,0.598245342218138,0.684047257449576,1.36438064684921,1.30769038028501,0.779623903909116,0.741634989063057,0.753422880033182
"Ncf4",0.53455448786286,0.432668615559036,0.389458287193906,1.03689423153681,0.90732808757235,0.482164894343086,0.369703277861951,0.388392463355536
"Napsa",0.43947712657701,0.560009006732323,0.451356999521426,1.37716388712312,1.32917452509749,0.423442141127557,0.301761564995506,0.394460664340726
"Ms4a6d",0.665662923545906,0.599859002585589,0.521358735448593,1.22655383915941,1.2081413593221,0.463130368056562,0.425398327707933,0.48262889986652
"Ms4a4a",0.585354029299997,0.540804777783567,0.357288303570796,1.41882900259338,1.40503133080118,0.426441797873136,0.584227845908836,0.538186069940047
"Megf6",0.421464446837526,0.344797522067126,0.394025595394344,1.15298238801114,1.0726143341496,0.537238496989351,0.571574407606646,0.495870402057049
"Mal2",0.813589114193647,0.807275879826671,0.833057740016125,1.39647686317447,1.37976799769533,0.0317528666197353,0.0369835769423422,0.031523806989335
"Lypd2",0.621299893850843,0.622842271736301,0.301111087383733,1.62671465570632,1.57719119247067,0.824855934352218,0.526576931933136,0.800320461350978
"Lrp4",0.835386870496658,0.823315291441399,1.02466776289667,1.66606362312244,1.78286226007326,0.568156434315357,0.547602452397416,0.585992476993465
"Lrmp",0.419961854591926,0.454453868349895,0.246577111435657,1.00866109975106,0.892806386552708,0.404717210957279,0.453080104874839,0.432854848914776
"Lilrb4a",0.379103461069725,0.414061904128942,0.270446535695062,1.20276895946799,1.17877934780274,0.500830704384236,0.528177389500668,0.564595865737451
"Lilr4b",0.201385965478208,0.123533884454679,0.0942895362657135,1.10375252267669,1.12089430381725,0.653665450897856,0.514751805010215,0.608869508420245
"Lat2",0.596784185058138,0.62430464970431,0.454627614887147,1.34246837353355,1.30328337853493,0.63470572194085,0.685316093051025,0.670272129420701
"Krt2",0.0838997362206243,0.148805300696964,0.107803176047604,4.15221453858186,4.08216433585944,0.0317528666197353,0.136410218926601,0.129780192762653
"Klk9",0.86002859612904,0.763809766965906,0.928241776000131,1.59412915152925,1.65675913833007,0.385704644826455,0.44039073244873,0.385704644826455
"Kctd4",0.488872384499301,0.492325323156622,0.620287348909451,1.13397175286079,1.19043671021827,0.497840726000235,0.441903086358985,0.423720781136303
"Il6ra",0.774466862381807,0.726330195826725,0.803241189406785,1.47452526301234,1.4843344794211,0.748825490615434,0.769224884401624,0.759294337685663
"Il33",0.715451187560565,0.704712806645046,0.734887900572711,1.43529450006663,1.45754254962867,0.518528592061508,0.47798976833107,0.497571163004829
"Il1f8",0.27205448374194,0.325225062535115,0.517762918961529,1.50236055230936,1.55851845272872,0.0317528666197353,0.0369835769423422,0.031523806989335
"Hsd3b6",0.347036786495216,0.344797522067126,0.545861562583209,1.6747673335506,1.69090254563028,0.0317528666197353,0.0369835769423422,0.031523806989335
