Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.CRT,logFC.DRT,relative.CRT,relative.DRT,PValue
ENSMUSG00000095721.1,Gm7137,15.45,45.34,28.45,60.42,56.55,21.39,24.38,29.74666667,58.485,22.885,-1.252563744,-1.314562432,0.419701713,0.402047417,0.017723358
ENSMUSG00000073786.1,Gm7579,74.55,124.07,62.71,180.41,134.71,57.5,76.75,87.11,157.56,67.125,-1.146144699,-1.212073039,0.451831044,0.431647926,0.018303121
ENSMUSG00000023039.16,Krt7,1.05,0.91,0.91,4.65,3.49,0.86,0.84,0.956666667,4.07,0.85,-2.212041229,-2.080554563,0.215828722,0.236423514,0.019153984
ENSMUSG00000064899.1,Snord118,5.67,65.16,19.13,152.33,200.42,91.94,32.11,29.98666667,176.375,62.025,-2.809901051,-1.452848037,0.142605245,0.365299571,0.020895643
ENSMUSG00000045331.3,2310079G19Rik,6.72,2.7,7.01,10.45,10.95,4.73,4.89,5.476666667,10.7,4.81,-1.225383022,-1.095375763,0.427683952,0.468014209,0.020914697
ENSMUSG00000078668.3,Gm11595,765.87,1155.14,635.94,1640.33,1235.82,621.78,726.88,852.3166667,1438.075,674.33,-1.048974651,-1.076947357,0.48331154,0.474030779,0.021174552
ENSMUSG00000078262.5,Krtap4-9,707.07,1136.31,602.65,1484.5,1201.18,632.87,675.32,815.3433333,1342.84,654.095,-1.009351179,-1.017290498,0.496769609,0.494043336,0.026660759
ENSMUSG00000090093.8,Gm14399,2.48,5.57,2.88,7.01,6.7,1.48,1.98,3.643333333,6.855,1.73,-1.16142201,-1.87941083,0.447071657,0.271794689,0.027227558
ENSMUSG00000046764.8,A530053G22Rik,1.01,2.45,0.38,1.73,4.15,0.16,0,1.28,2.94,0.08,-1.385266714,-3.950626128,0.38281872,0.064675982,0.029151034
ENSMUSG00000064841.1,Gm26205,0,7.81,0,22.51,9.63,0,0,2.603333333,16.07,0,-2.841488474,-7.133905017,0.139516874,0.00712001,0.029918298
ENSMUSG00000087405.1,Gm14232,2.69,0,1.4,4.94,4.67,1.91,1.37,1.363333333,4.805,1.64,-1.990425351,-1.449170703,0.251664678,0.366231883,0.030481626
ENSMUSG00000088252.1,Snord13,54.51,273.97,87.66,503.34,285.25,92.48,34.72,138.7133333,394.295,63.6,-1.801108077,-2.618768106,0.286954106,0.162806691,0.032683995
ENSMUSG00000070063.1,Snora33,0,0,0,3.24,8.07,4.55,0,0,5.655,2.275,-5.644797993,-1.232892036,0.019986948,0.425463703,0.035491786
ENSMUSG00000081952.1,Gm12178,0,0,1.19,3.25,1.42,0.26,0,0.396666667,2.335,0.13,-2.470675505,-3.298591525,0.180406659,0.101630721,0.036476332
ENSMUSG00000066100.7,Krtap5-1,95.72,194.37,89.91,244.61,180.37,83.89,93.47,126.6666667,212.49,88.68,-1.036456045,-1.242642921,0.487523597,0.422597776,0.037513916
ENSMUSG00000045236.4,Krtap5-4,88.19,154.6,82.62,223.62,137.43,72.21,90.32,108.47,180.525,81.265,-1.035418359,-1.142256063,0.487874384,0.45305055,0.039775814
ENSMUSG00000089783.1,Gm454,2.03,1.57,2.06,2.96,3.88,0.19,0.33,1.886666667,3.42,0.26,-1.082571392,-3.207456987,0.47218647,0.10825781,0.041241238
ENSMUSG00000095817.1,Gm3238,86.78,181.9,78.83,249.93,175.65,93.15,102.92,115.8366667,212.79,98.035,-1.169063413,-1.102418456,0.444709949,0.465735108,0.044875588
ENSMUSG00000094120.1,Gm3233,132.23,257.45,103.15,399.43,255.45,161.86,155.78,164.2766667,327.44,158.82,-1.292181924,-1.033032142,0.408333002,0.488681996,0.045388109
ENSMUSG00000105008.1,Gm43652,65.49,23.27,24.49,111.35,40.6,16.75,18.12,37.75,75.975,17.435,-1.322836788,-2.109374073,0.399748136,0.23174754,0.045432123
ENSMUSG00000106795.1,Gm43050,1.02,0.62,1.06,4.93,2.01,0.94,0.73,0.9,3.47,0.835,-2.065345954,-1.87998821,0.238929028,0.271685936,0.047065207
ENSMUSG00000057262.1,Gm10020,1.59,0,0,4.27,2.31,0.92,2,0.53,3.29,1.46,-2.625370132,-1.074596822,0.162063361,0.474803731,0.049065879
ENSMUSG00000030996.7,Art1,38.42,29.5,35.71,1.77,1.11,5.4,5.04,34.54333333,1.44,5.22,4.198270185,1.817682925,18.35714996,3.525145791,1.03631E-06
ENSMUSG00000007122.11,Casq1,332.37,233.43,329.05,16.68,20.51,72.92,69,298.2833333,18.595,70.96,3.712805018,1.967998643,13.11190152,3.912250214,1.50796E-06
ENSMUSG00000042045.5,Sln,17.23,11.06,20.99,0.34,0.67,61.17,58.25,16.42666667,0.505,59.71,4.458508142,6.632388253,21.9859222,99.20825416,1.53487E-06
ENSMUSG00000006457.3,Actn3,199.98,148.04,177.86,14.22,18.5,63.2,63.15,175.2933333,16.36,63.175,3.132209778,1.984519825,8.767768933,3.957309288,1.61525E-06
