Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.VRT,logFC.DRT,relative.VRT,relative.DRT,PValue
ENSMUSG00000028957.12,Per3,18.54,25.86,19.71,4.95,4.94,4.9,5,21.37,4.945,4.95,-1.80821374,-1.7674279,0.285544254,0.293731949,0.000168466
ENSMUSG00000022490.6,Ppp1r1a,20.99,16.95,23.19,9.85,6.74,2.51,2.94,20.37666667,8.295,2.725,-1.005316436,-2.533713651,0.498160854,0.172693579,0.00017304
ENSMUSG00000027022.13,Xirp2,9.42,6.39,9.57,0.43,0.43,2.96,3.09,8.46,0.43,3.025,-3.699256373,-1.134543563,0.076986198,0.455478998,0.000175839
ENSMUSG00000046345.4,Smco1,15.85,10.07,16.28,0.74,1.56,5.07,3.75,14.06666667,1.15,4.41,-3.209022026,-1.330936203,0.108140435,0.397510203,0.000178424
ENSMUSG00000035923.3,Myf6,16.65,9.41,16.63,0.88,0.65,3.71,4.33,14.23,0.765,4.02,-3.748739125,-1.477556621,0.074390431,0.359096471,0.000180264
ENSMUSG00000028348.7,Murc,11.06,6.94,11.43,0.67,0.58,3.45,2.26,9.81,0.625,2.855,-3.468539983,-1.425236584,0.09033695,0.372358299,0.000185549
ENSMUSG00000069515.5,Lyz1,66.92,35.58,64.47,20.59,22.4,3.84,4.44,55.65666667,21.495,4.14,-1.084879484,-3.39064537,0.471431647,0.095348538,0.000190215
ENSMUSG00000020913.3,Krt24,17.87,9.71,18.85,1.46,1.27,1.88,1.57,15.47666667,1.365,1.725,-3.118909148,-2.766941336,0.115110461,0.146915515,0.000190491
ENSMUSG00000029432.12,Gbas,200.43,219.59,196.51,75.7,64.22,72,69.4,205.51,69.96,70.7,-1.262379935,-1.219471138,0.416855728,0.429440113,0.00019584
ENSMUSG00000024471.12,Myot,63.92,32.41,65.79,1.99,4.12,11.45,12.18,54.04,3.055,11.815,-3.813060808,-1.860221238,0.071146628,0.275434038,0.000204786
ENSMUSG00000024381.15,Bin1,35.22,23.21,34.15,8.51,6.37,7.4,7.72,30.86,7.44,7.56,-1.754777751,-1.693354905,0.296318837,0.309207045,0.00020623
ENSMUSG00000056328.14,Myh1,151.92,59.88,145.1,3.52,4.35,23.99,25.57,118.9666667,3.935,24.78,-4.590330952,-1.930157504,0.041511908,0.262400522,0.000206407
ENSMUSG00000038086.3,Hspb2,43.34,31.28,38.7,11,6.21,9.95,9.86,37.77333333,8.605,9.905,-1.837068309,-1.59907497,0.27988997,0.330088557,0.000209401
ENSMUSG00000043795.8,Prr33,11.11,6.08,10.95,0.29,0.65,2.04,2.06,9.38,0.47,2.05,-3.743750924,-1.818133708,0.074648086,0.283587587,0.000209775
ENSMUSG00000028834.13,Trim63,16.63,10.9,17.8,0.71,2.17,4.14,4.63,15.11,1.44,4.385,-3.013626223,-1.441189971,0.123824936,0.368263426,0.000212567
ENSMUSG00000020676.2,Ccl11,46.52,29.69,53.78,14.36,12.79,5.2,4.73,43.33,13.575,4.965,-1.383680238,-2.775785677,0.383239923,0.146017615,0.000223049
ENSMUSG00000025190.13,Got1,40.26,28.98,40.69,10.38,11.96,15.08,13.15,36.64333333,11.17,14.115,-1.423709712,-1.048908927,0.372752591,0.483333559,0.00022627
ENSMUSG00000022519.13,Srl,36.74,19.33,34.98,1.07,2.85,7.67,7.16,30.35,1.96,7.415,-3.596310044,-1.696533558,0.082680445,0.308526527,0.000238456
ENSMUSG00000052374.14,Actn2,83.2,35.55,74.19,1.54,2.44,15.01,14.08,64.31333333,1.99,14.545,-4.652381239,-1.81192537,0.039764332,0.284810577,0.000248824
ENSMUSG00000101655.1,2310040G24Rik,25.03,15.93,26.4,3.92,3.57,6.41,7.44,22.45333333,3.745,6.925,-2.268366697,-1.361934155,0.207564742,0.389060345,0.000261907
ENSMUSG00000020061.17,Mybpc1,74.95,37.11,69.24,4.38,5.75,15.55,19.73,60.43333333,5.065,17.64,-3.264562563,-1.447231163,0.104056388,0.366724571,0.000269213
ENSMUSG00000055027.17,Smyd1,14.12,7.77,14.38,0.59,0.95,2.68,3.46,12.09,0.77,3.07,-3.50809118,-1.621903501,0.08789402,0.324906497,0.00027834
ENSMUSG00000065987.12,Cd209b,9.24,6.12,9.57,2.89,3.73,0.38,0.45,8.31,3.31,0.415,-1.022844126,-3.682347045,0.492145181,0.077893835,0.000279566
ENSMUSG00000025161.16,Slc16a3,19.04,10.35,18.18,1.45,2.21,3.44,2.72,15.85666667,1.83,3.08,-2.759584736,-2.004508195,0.147666581,0.249220009,0.00028518
ENSMUSG00000027380.10,Acoxl,20.93,17,16.37,5.14,7.06,4.19,6.19,18.1,6.1,5.19,-1.273514139,-1.462151304,0.413650967,0.362951503,0.000297576
ENSMUSG00000078937.8,Cpt1b,16.24,8.04,15.17,0.48,0.7,2.85,3.29,13.15,0.59,3.07,-3.955857443,-1.741756472,0.064441887,0.299005417,0.000299735
ENSMUSG00000075595.9,Zfp652,20.25,17.63,22.88,3.42,7.75,5.92,5.42,20.25333333,5.585,5.67,-1.559848366,-1.497884652,0.33918673,0.354072168,0.000302372
ENSMUSG00000068888.3,Lce1i,94.78,87.57,88.49,44.35,27.51,18.99,19.01,90.28,35.93,19,-1.032429454,-1.921738375,0.488886186,0.263936288,0.000307726
ENSMUSG00000028496.17,Mllt3,18.77,13.47,19.05,4.72,3.67,6.29,5.79,17.09666667,4.195,6.04,-1.71911351,-1.165699475,0.303735299,0.445748091,0.000312983
ENSMUSG00000001604.14,Tcea3,47.94,28.33,48.28,8.27,8.05,11.38,11.75,41.51666667,8.16,11.565,-2.049380274,-1.512762553,0.241587837,0.350439535,0.000315676
ENSMUSG00000003545.2,Fosb,15.63,18.81,14.89,2.99,5.63,4.91,5.33,16.44333333,4.31,5.12,-1.626682844,-1.344200828,0.323831932,0.393872111,0.000317907
ENSMUSG00000026489.13,Adck3,90.69,39.36,79.87,4.12,8.15,11.23,9.43,69.97333333,6.135,10.33,-3.205195134,-2.422151672,0.108427669,0.186577682,0.000339205
ENSMUSG00000025141.2,Myadml2,14.36,8.59,15.43,1.18,0.55,4.78,4.67,12.79333333,0.865,4.725,-3.441560394,-1.098361944,0.092042221,0.467046486,0.000348022
ENSMUSG00000021200.14,Asb2,14.84,8.13,13.11,1.84,2.32,2.08,2.52,12.02666667,2.08,2.3,-2.190448745,-2.014095949,0.219083275,0.247569252,0.000351457
ENSMUSG00000027919.5,Lce1g,14.96,15.67,15.83,7.53,4.55,2.9,3.11,15.48666667,6.04,3.005,-1.063576334,-2.005463793,0.47844456,0.249054987,0.000353055
ENSMUSG00000040287.9,Stac3,23.39,13.12,24.2,1.87,1.52,5.23,7.19,20.23666667,1.695,6.21,-3.211984109,-1.36758219,0.107918634,0.387540182,0.000357957
