gene_name,gene_id,CCT1,CCT2,CEA1,CEA2,CMA1,CMA2,CLA1,CLA2,CC1,CC2,CC3,CRT1,CRT2,CRT3
Slc25a1,ENSMUSG00000003528.14,132.4235011,143.510129,127.2637967,170.9473973,142.7373332,114.4545058,156.0979814,159.9120562,88.07005105,94.54291372,87.68277052,245.4588934,275.261428,250.8384695
Olfr1152,ENSMUSG00000045225.2,41.37145334,48.81700081,19.05999669,22.75414692,26.97461867,51.19297312,33.77739351,29.4942177,23.21455214,27.79733431,27.31445432,116.2318727,103.9507461,110.6308844
Adgrg1,ENSMUSG00000031785.15,0.134860848,0.051073658,0.061101822,0.040340291,0.116112231,0.035729344,0.825721608,0.838798748,0.553709658,0.404766907,0.404236279,2.31918222,1.601719426,2.722900569
Slpi,ENSMUSG00000017002.14,17.66376348,19.26248141,16.43947057,10.8761073,9.951055624,15.02594865,11.41160195,11.17986139,6.987295845,8.50919172,8.377144055,23.73548309,25.38207955,24.98253722
Myh14,ENSMUSG00000030739.17,8.3349111,8.135045592,7.393506415,10.30921729,10.48218746,7.730014308,11.98018841,11.60878329,6.352810102,6.022491798,6.159926283,20.14433498,17.33418477,22.4046774
Depdc1b,ENSMUSG00000021697.12,25.21864155,25.32588337,36.11768331,27.91825991,32.41431825,29.35272658,26.63719816,24.26427839,14.97111685,15.57122966,16.86304464,45.60499129,55.53878108,47.1854595
Cnot1,ENSMUSG00000036550.15,1.179736279,0.818244942,0.749451997,1.273913125,1.110181949,0.585405509,1.333564787,1.110348396,0.980246636,0.825354415,0.772938393,3.105337888,2.639670976,2.915022978
Sulf2,ENSMUSG00000006800.13,0.981092625,1.11294927,1.123969468,1.291638742,1.473230931,0.899124635,3.454238435,3.301256188,1.326791561,1.309519261,1.451830696,6.711531327,4.72349123,7.418125491
Rfx1,ENSMUSG00000031706.6,2.698343196,2.830753142,5.041338825,6.850378275,6.330267094,4.093285347,8.896143218,7.328421903,5.549141153,4.85098722,5.441636146,22.37832698,30.87798556,24.0037621
Aldh3b1,ENSMUSG00000024885.8,0.993071803,1.338557592,0.778442461,1.797104959,0.809960685,0.389306135,10.79371332,12.16512493,7.084160784,5.38977654,5.332391918,34.70168525,22.61978653,30.36980324
