gene_name,gene_id,DCT1,DCT2,DEA1,DEA2,DMA1,DMA2,DMA3,DLA1,DLA2,DLA3,DC2,DC1,DRT2,DRT1
Arhgef28,ENSMUSG00000021662.9,11.04777565,12.98462103,18.32672435,15.7657131,3.02660825,5.190378248,3.959214613,1.454560735,2.385694103,1.019949871,3.741089489,3.057806197,8.561244564,7.854091743
n-R5s196,ENSMUSG00000065070.1,1.183748454,1.125506631,1.117224466,1.330189775,0.699454251,0.528237343,0.737170737,0.645576185,0.834031725,0.433148512,0,0.087961058,0.835743227,0.796326548
Btaf1,ENSMUSG00000040565.7,7.793361105,8.285828828,9.096611177,9.811376318,3.297192829,2.559732991,3.555138211,1.780197769,1.766380315,1.86253229,5.700005129,5.836755583,5.60474365,5.512067812
Mtor,ENSMUSG00000028991.15,46.13762433,44.67221694,57.08397739,66.53859262,15.95442408,17.44711848,20.35537133,10.70816941,11.77000706,12.05373242,18.97368759,16.97404412,30.22908318,30.12480924
Me3,ENSMUSG00000030621.17,3.583952359,3.356810853,3.64366283,3.362239091,1.269294438,0.98086508,1.075657942,1.84278364,2.087075023,2.056806967,1.392551716,1.238475819,2.387207835,2.296080791
Trim36,ENSMUSG00000033949.11,33.98494444,33.15802616,22.7954233,21.74881192,6.066310137,6.323002232,5.790734622,1.670217565,1.973607757,2.187806114,5.770544931,5.135137086,14.18334366,13.04614183
Tmbim1,ENSMUSG00000006301.17,13.29499227,13.01785585,11.88053353,10.70405557,2.899710474,3.362624824,3.302755544,3.12800837,2.894534923,3.11007448,7.668916861,8.655083419,8.251632536,7.236659183
Klhl12,ENSMUSG00000026455.14,42.20971964,40.90280776,51.80061502,45.59751859,12.42456467,13.16139175,10.50423482,22.86438174,22.23763928,20.69987293,18.81206545,19.30457014,27.2124138,27.10569051
Olfr532,ENSMUSG00000063823.1,0.889010107,0.789085712,0.906453282,1.015108672,0.136805322,0.000427537,0.052124178,0.11381826,0.138143882,0.134339505,0,0.068309863,0.267407905,0.345162853
2610528J11Rik,ENSMUSG00000028536.12,60.26726863,54.58562871,48.4849688,42.12685162,19.03067516,12.86650318,9.58544269,24.82352017,23.39260446,18.56118803,13.17326009,11.63952082,24.77542908,25.72148137
Abcb8,ENSMUSG00000028973.18,2.364099368,2.918743366,3.071375482,3.026591303,0.279134868,0.701545938,1.091599196,0.289987861,0.68955355,0.726445559,0.895268121,0.60808321,2.056011685,1.292005077
Casd1,ENSMUSG00000015189.12,4.863112212,5.962953761,7.686089455,5.618984852,1.642821553,1.472438191,1.200318428,2.117236552,2.028121009,2.2200443,0.377332933,0.678938028,2.711843109,2.645593825
Alg2,ENSMUSG00000039740.6,3.229732916,3.248810713,6.299761358,6.184396897,1.03261024,1.223308239,0.770841933,1.21611953,0.923213323,0.96393263,0.685643716,1.033523381,1.331141886,1.888421395
Slc37a3,ENSMUSG00000029924.12,9.300616239,8.740656543,9.933408093,9.737068914,2.270910454,2.437509033,2.160265164,4.056759522,3.850956055,3.664939953,4.447364938,3.825877515,4.787397594,4.627419619
Masp1,ENSMUSG00000022887.8,7.677482667,8.907260103,8.204052419,7.822328076,2.616344358,3.032255654,2.630520852,3.626270338,3.451723517,2.829167156,2.317880632,2.084793297,4.87562063,3.835765776
Fam134c,ENSMUSG00000017802.14,3.204076974,3.116809693,2.832761564,2.957477125,1.335945352,1.543135549,1.351939903,0.902361637,1.117632934,1.075282473,2.088925981,1.967055693,1.158660752,1.520824451
Doc2g,ENSMUSG00000024871.10,7.345526618,7.562084366,7.243434062,7.526995752,4.233458223,3.993351062,4.040460282,4.453356923,4.151478176,3.58595781,1.66185548,0.951185613,3.238259692,3.652721941
Ercc6l,ENSMUSG00000051220.2,216.4173232,205.7998555,206.5924517,206.1764884,28.80442815,32.13756397,17.39170437,47.87588639,55.7088758,44.51572151,44.54548015,25.76708621,56.07699543,71.30255524
Nthl1,ENSMUSG00000041429.2,694.7258829,714.0883869,872.3381546,767.0566823,126.1442631,113.6891263,94.72892313,232.5378389,244.6913006,226.7290041,222.5908653,225.1174477,260.1791207,281.5480965
A930016O22Rik,ENSMUSG00000040705.1,2.320618668,2.140983891,2.648122689,2.440389218,0.939323568,1.07010751,0.790428346,1.307878951,1.047398488,0.964623273,0.477090584,0.490940795,1.081149549,1.026407787
Elf3,ENSMUSG00000003051.13,59.90090417,58.80055328,49.41779224,47.00792019,16.83992254,18.74220703,19.01996676,26.01704645,25.63221948,25.54891219,14.3767539,13.09732301,26.13212936,22.91089067
