gene_name,VCT1,VCT2,VCT3,VEA1,VEA2,VEA3,VMA1,VMA2,VLA1,VLA2,VLA3,VC1,VC2,VRT2,VRT1
Sestd1,6.099324543,8.737126326,5.961484893,3.676830744,5.345232191,6.409691109,22.29630486,24.03737341,4.07897644,3.951057453,4.729143475,2.830099476,3.577802652,8.43919936,4.889711651
Ube2l3,2.00995317,2.125121948,2.281857038,2.036741001,1.669763583,1.85744194,5.116492716,4.44564302,3.511992767,3.059384111,3.492897198,3.467343235,3.062868759,2.398984852,3.483163271
Myo3a,20.03026638,14.95284005,16.76853376,20.49689631,17.08716342,18.82414234,37.7451866,33.4682029,19.91042991,21.51557894,21.23277877,21.47794415,18.76159646,20.31976942,19.9603329
Tada2b,9.414842814,11.30840397,9.445803635,6.100817288,5.86505506,5.671536462,19.25617337,18.26052679,13.93736606,15.90662878,15.51365353,13.14880204,12.81203576,9.455595208,12.42302473
Kpnb1,41.95778858,50.44449915,51.80306748,27.25973235,26.87364695,27.58112447,117.2043873,98.80048608,80.15776907,82.92106386,78.67953461,84.28245259,85.36247295,61.20627158,59.32621751
Hyal6,29.09036647,29.77884369,23.60010448,15.88529124,15.13869693,15.10862318,48.75063195,51.98562419,31.79446353,34.18867046,32.8348353,37.64383877,38.79526437,18.31904803,20.65174651
Npr2,97.09988153,105.5086587,83.14072272,67.21855632,74.62342147,74.45578843,171.1919501,157.4212238,100.1685137,113.8253311,103.910867,91.40796783,90.57415719,121.2592864,105.3248653
Fhl5,84.37626874,74.91759217,73.06430669,58.36711191,56.28496661,61.68038586,150.3550195,139.2582588,98.43538836,103.3283063,99.45942599,89.84118134,94.64422778,90.35370318,86.43652036
Tnfsf10,8.866392932,13.53754808,10.35787946,6.042170255,7.933135865,6.683834678,20.12720653,23.09851549,16.53541429,15.41619111,14.3008412,13.05423188,14.93188258,7.083472404,10.51888309
Hccs,22.54160141,33.45920098,29.73409413,23.24432597,24.17618423,22.50566395,57.15018293,57.05773142,36.24909131,39.12305399,37.89426858,42.3180132,43.76945195,32.57810886,35.32416936
Sp1,2.175233424,2.389377389,1.946639712,2.458008276,2.361505775,1.948798536,3.911226277,3.645738624,2.030087518,1.505792076,1.423781544,2.162684038,2.205871293,2.361135636,2.437472375
Cdc20,85.06357595,72.94698975,77.26865218,81.66356156,78.6899134,85.4624877,173.7198698,162.630465,84.94576022,88.44887573,91.96426584,83.23499538,64.46344736,63.05336605,92.59472169
Elmo3,50.6222743,48.40980215,42.77889433,32.37490666,30.44648561,32.59896146,100.9605369,93.37545271,49.16628295,53.68589737,49.82178861,47.11468057,46.7629163,27.97200662,43.35657554
Sh3d19,21.78461501,21.89993658,17.74814302,15.80857072,12.66203595,16.85374125,31.08474003,36.08830969,21.48646465,19.41020077,17.77287718,23.40225422,21.43211068,17.32633975,13.41930211
Eepd1,8.205616526,9.052282579,8.417145259,7.99357494,7.32556664,7.056736899,18.31321813,19.380376,8.758170423,9.073540211,8.669115754,7.50567685,7.554273296,6.215802436,11.06048259
Card9,73.26404874,61.29704771,58.86313679,28.26149547,32.22870419,31.66579923,119.03937,109.8305552,72.82705999,81.5914377,75.70534013,76.11968369,72.78116377,56.15387916,54.24081954
Dbndd1,7.721871502,6.825633955,5.904069704,4.154998875,3.038753836,3.76806595,10.52066154,13.769903,6.564257773,7.652251962,6.969120227,8.837698658,7.015642662,3.746327553,4.199180598
Fbrsl1,15.81849894,17.11563776,15.52264928,11.85413563,12.32640116,12.22173,31.07883808,34.7308871,17.61039861,17.80648743,16.92537661,15.66094733,13.96632914,11.45030966,19.20397017
